,playID,totalDistance,averageBallSpeed,straightLineDistance,routeEfficiency,result,onBase
1,21510,141.86622303581777,91.5265955069813,141.39546862951073,0.9966817019849172,0.0,0
2,7027,285.1134370961327,80.31364425243187,265.5871076062111,0.931513822397161,1.0,1
4,9072,468.2720073055165,92.72713015950742,418.6439449456582,0.8940187293162726,0.0,0
6,5758,375.6501038081038,57.79232366278501,168.0374116750764,0.4473242785550147,0.0,0
7,13615,313.1001413413834,49.698435133553346,301.5017966074471,0.9629564372464137,0.0,0
8,26276,126.5083536477379,56.22593495455113,120.41464096063855,0.951831539092926,0.0,0
12,15577,346.091532176063,100.31638613797871,326.15819745422226,0.942404442557409,0.0,0
13,4292,409.25194777777557,95.1748715762273,382.05870918735275,0.9335537955577702,0.0,0
14,22678,307.5084155911677,69.88827627072713,305.70933881508154,0.9941495039326728,0.0,0
15,19420,396.48859521921645,79.29771904384411,307.5103736164136,0.7755844110633061,0.0,0
16,26297,142.4184517010636,50.863732750381985,136.8827772875997,0.9611309184495049,0.0,0
18,5248,380.83149572788886,62.947354665764244,341.87376459314015,0.8977034946642525,1.0,1
19,17809,362.1711524018231,90.54278810045716,336.63980399151524,0.929504743155299,0.0,0
21,15791,301.6739033633364,79.3878693061442,291.48745835460545,0.9662335890006952,0.0,0
25,13894,249.0931754366993,54.74575284322856,235.1248872296285,0.943923440766363,0.0,0
26,8259,357.44686820511026,84.10514546003328,319.9864066478972,0.8951999167168042,0.0,0
28,8466,386.5284911585718,66.64284330320565,223.05494545017206,0.577072455335937,0.0,0
29,10676,114.74004383044361,84.99262505957579,112.64063998671153,0.9817029541418473,0.0,0
30,15639,187.82083653017352,45.25803289883572,108.07742618094802,0.5754283080492261,0.0,0
33,12315,149.3630259063072,72.86001263722467,148.3906185567188,0.9934896381237056,0.0,0
34,21237,388.0600407848799,79.19592669079121,321.94744305401315,0.8296330701889605,0.0,0
36,6106,318.77244792969145,75.00528186580587,280.47546942926886,0.8798610772381765,0.0,0
37,8127,272.40081734987945,74.63036091776917,265.6072538609197,0.9750604144471641,0.0,0
38,21574,378.62262881313114,77.26992424757383,285.22505807860847,0.7533227978811088,0.0,0
42,6379,121.7398000254376,86.95700001815734,120.76507225987686,0.9919933516782755,0.0,0
44,5446,123.8108940774961,91.71177339074205,122.9918649834791,0.9933848382234899,0.0,0
45,15421,420.28141981839786,72.46231376179794,297.40369177461326,0.7076298826227444,0.0,0
49,56,77.9945083029331,74.28048409801308,76.46643020030348,0.9804078756840864,0.0,0
50,18313,194.49161055064712,45.23060710480925,109.08166720389815,0.5608553854588625,2.0,1
51,10941,426.3813924005442,80.44931932084918,314.8247715024756,0.7383642370742297,0.0,0
53,15864,142.250982245878,72.94922166454896,141.31170258418868,0.9933970251251708,0.0,0
56,19655,60.37481356423937,54.88619414936997,57.20603216153969,0.9475148457505701,0.0,0
57,24005,143.58175423404634,79.7676412411012,142.7121321102585,0.9939433660744226,0.0,0
62,2869,85.02342878469936,30.91761046716136,76.77114987197568,0.9029411183402104,0.0,0
66,10915,513.4980022111436,85.58300036852047,335.3538793986318,0.653077281614698,0.0,0
67,22482,145.56712090523453,88.22249751832193,143.5033279820191,0.9858223964973589,0.0,0
71,17518,35.969103130167554,12.8461082607722,33.83914148809832,0.940783576550097,0.0,0
72,3071,354.5957302281974,97.14951513102227,336.2754978289633,0.948334875923508,0.0,0
75,1832,135.95638756271916,104.58183658671766,135.67431350909328,0.9979252607495492,0.0,0
80,675,267.11307761699965,75.2431204554839,257.82697470834904,0.9652353116084961,0.0,0
81,10163,142.7474606805449,79.3041448225195,142.45546499507927,0.9979544596865434,0.0,0
82,12422,489.46172664150373,77.69233756214163,319.3933439712511,0.6525399772578833,0.0,0
87,863,259.9327860284435,61.16065553610514,255.16209707177163,0.9816464516478893,0.0,0
88,9901,43.77833979114178,24.32129988396407,40.91420878387095,0.9345765275491245,0.0,0
90,11978,167.93846208622895,44.1943321279566,143.82655608198772,0.856424158559575,0.0,0
91,15288,336.4508501460041,70.8317579254755,275.76688084506515,0.8196349651825671,0.0,0
96,24032,278.9133422447858,101.42303354353331,268.782490512454,0.9636774216292581,0.0,0
100,1189,147.86557726349702,82.14754292422212,143.38189345840638,0.9696772982051076,0.0,0
101,1187,116.8824715542764,46.75298862171488,113.20977088821111,0.9685778319261514,0.0,0
104,3707,66.98658280318755,31.898372763455466,49.26607710032385,0.7354618647300147,0.0,0
106,459,338.950756830676,73.68494713710345,289.531766473863,0.8542000884762725,0.0,0
108,14698,151.49687497807358,77.69070511696161,149.80990149361082,0.9888646317971449,0.0,0
110,17259,299.67335373019694,73.9934206741223,299.109681269178,0.9981190437721519,1.0,1
111,2880,415.3169244885909,86.52435926845611,368.22988231848,0.886623830155507,0.0,0
113,10147,299.6835381459367,110.99390301701759,292.894497660162,0.9773459679241085,0.0,0
114,13056,395.05269673505325,78.22825677921983,327.86409633393777,0.8299249670831224,0.0,0
117,21765,400.2308670783068,61.57397955050969,199.28372566151072,0.49792192970093946,0.0,0
119,13998,305.7811850787437,84.93921807742373,295.39653554259576,0.9660389518947226,1.0,1
120,15224,50.1791990061723,71.68457000881823,49.47466534203406,0.9859596470630873,0.0,0
121,13726,284.2016408255144,84.83631069418124,278.93881144855453,0.9814820584368442,1.0,1
122,11861,149.12890404724646,87.72288473367793,147.58958284979641,0.9896779151748988,1.0,1
124,8099,91.80549615623633,47.079741618581025,84.78368609084977,0.9235142735524602,1.0,1
125,6487,48.06943331487123,25.29970174466311,40.85560464749192,0.8499289845976286,0.0,0
126,21026,462.61334083411094,61.27329017670778,375.1676926471858,0.8109746510352316,3.0,1
127,12607,92.36725243818711,83.97022948925695,92.1228157836533,0.9973536437635471,0.0,0
128,16922,147.14105273712414,70.06716797005888,142.40797320415385,0.9678330456053879,0.0,0
129,1492,355.08764531801825,71.73487784201872,268.65462528518907,0.7565867999844959,0.0,0
130,24477,288.2843136013671,92.99493987142472,282.00222409478647,0.9782087015831622,1.0,1
132,10573,89.5660069903381,74.63833915864244,88.7067748262181,0.9904067157508463,0.0,0
137,12041,264.02041085124955,112.34911100052823,258.78174232784875,0.9801580926773411,0.0,0
138,16332,53.627978796705506,31.545869880427603,49.82960503553119,0.929171789681403,0.0,0
141,15241,304.0854745879781,60.81709491760043,219.0165145006054,0.7202465517215604,1.0,1
145,486,52.11742112834504,80.18064788969608,51.38462503564458,0.985939517404442,0.0,0
146,2644,58.10788895149442,68.36222229581854,56.76425063137787,0.9768768347231105,0.0,0
148,23665,403.92941165635705,76.21309653893233,325.25288367614854,0.8052220865581767,0.0,0
149,21724,333.53950429938834,63.53133415227407,289.57095805515354,0.8681758961757999,2.0,1
150,255,132.37569173872637,61.57008918080585,127.23469690599642,0.9611636036404865,0.0,0
151,20526,143.36437299239978,114.69149839391989,142.78170898209302,0.9959357823834123,0.0,0
158,13950,260.0577803541577,110.662885257114,254.6814216846268,0.9793262917871206,0.0,0
159,2062,144.43108808339832,67.1772502713816,142.61886024629516,0.9874526470640674,0.0,0
160,2786,128.0148916652453,31.608615225986032,126.30181065839359,0.9866181114980641,1.0,1
161,12392,133.23445943385934,95.16747102421539,131.97104587608177,0.9905173664294802,0.0,0
163,12164,64.22567615305165,20.389103540655068,61.81225172613485,0.9624227478560827,0.0,0
166,18320,285.5903391194837,95.19677970648938,278.734700618321,0.97599485149848,0.0,0
167,13802,425.51894645133285,72.73828144466837,307.12478228675513,0.7217652347752308,0.0,0
168,24281,142.5816143335897,58.19657727901594,140.47683274350348,0.9852380575158745,0.0,0
175,6117,473.9618839231558,68.69012810479664,253.49152459940305,0.5348352540528386,0.0,0
180,13814,418.69730536171465,69.20616617547832,245.97043934623406,0.587466019476144,0.0,0
182,23256,334.66469084867884,52.291357945111024,108.72319688579915,0.3248720282085545,0.0,0
185,22939,412.6276530301022,64.98073276064298,109.56611924701762,0.2655326622983858,0.0,0
188,20809,139.76361485959188,84.70522112704785,138.90301468665197,0.993842459113522,0.0,0
189,4591,363.6218051117617,79.91688024430302,324.456355659315,0.8922907017624839,0.0,0
190,9898,135.67901219199248,24.895231594834517,88.37316417688992,0.6513399732881128,0.0,0
191,12954,411.05134565440073,63.23866856222703,281.99753487928143,0.6860396830238727,0.0,0
192,5602,135.819742389504,129.35213560895875,135.26048237102364,0.995882336333134,0.0,0
195,15107,470.37124226401227,81.09849004549186,341.9570911528462,0.7269940430603766,0.0,0
